English	Term1	Term2	Term1_Audio	Term2_Audio	tags
season	die Jahreszeit, die Jahreszeiten		[sound:BAKU_A1_Jahreszeit_dwdownload.mp3]		jahreszeiten
"cold<br><img src=""40026293_507.jpg"" width=""50%"" height=""50%"">"	die Erkältung, die Erkältungen<br><br>	kalt <br><small><i>kälter, am kältesten</i></small>	[sound:BAKU_A1_Erkaeltung_dwdownload.mp3]	[sound:BAKU_A1_kalt_dwdownload.mp3]	jahreszeiten
"cold; coldness; cold weather<br><img src=""41996685_507.jpg"" width=""50%"" height=""50%"">"	die Kälte <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Kaelte_dwdownload.mp3]		jahreszeiten
to take something/someone along	etwas/jemanden mit|nehmen <br><small><i>nimmt mit, nahm mit, hat mitgenommen</i></small>		[sound:BAKU_A2_mitnehmen_dwdownload.mp3]		jahreszeiten
"wet<br><img src=""40135268_507.jpg"" width=""50%"" height=""50%"">"	nass <br><small><i>nasser, am nassesten</i></small>		[sound:BAKU_B1_nass_dwdownload.mp3]		jahreszeiten
"rainy<br><img src=""40025911_507.jpg"" width=""50%"" height=""50%"">"	regnerisch <br><small><i>regnerischer, am regnerischsten</i></small>		[sound:BAKU_B1_regnerisch_dwdownload.mp3]		jahreszeiten
terrible	schlimm <br><small><i>schlimmer, am schlimmsten</i></small>		[sound:BAKU_B1_schlimm_dwdownload.mp3]		jahreszeiten
heavy	schwer <br><small><i>schwerer, am schwersten</i></small>		[sound:BAKU_A1_schwer_dwdownload.mp3]		jahreszeiten
"to ski<br><img src=""40244478_507.jpg"" width=""50%"" height=""50%"">"	Ski fahren <br><small><i>fährt, fuhr, ist gefahren</i></small>		[sound:BAKU_A1_Ski_fahren_dwdownload.mp3]		jahreszeiten
"summer<br><img src=""40025954_507.jpg"" width=""50%"" height=""50%"">"	der Sommer, die Sommer		[sound:BAKU_A1_Sommer_dwdownload.mp3]		jahreszeiten
sunny	heiter <br><small><i>heiterer/heitrer, am heitersten</i></small><br><br>	sonnig <br><small><i>sonniger, am sonnigsten</i></small>	[sound:BAKU_A1_heiter_dwdownload.mp3]	[sound:BAKU_A1_sonnig_dwdownload.mp3]	jahreszeiten
exciting; gripping	spannend <br><small><i>spannender, am spannendsten</i></small>		[sound:BAKU_A2_spannend_dwdownload.mp3]		jahreszeiten
"temperature<br><img src=""42660733_507.jpg"" width=""50%"" height=""50%"">"	die Temperatur, die Temperaturen		[sound:BAKU_B1_Temperatur_dwdownload.mp3]		jahreszeiten
dry	trocken <br><small><i>trockener, am trockensten</i></small>		[sound:BAKU_A2_trocken_dwdownload.mp3]		jahreszeiten
windy	windig <br><small><i>windiger, am windigsten</i></small>		[sound:BAKU_A1_windig_dwdownload.mp3]		jahreszeiten
"winter<br><img src=""40026009_507.jpg"" width=""50%"" height=""50%"">"	der Winter, die Winter		[sound:BAKU_A1_Winter_dwdownload.mp3]		jahreszeiten
fear	die Angst, die Ängste		[sound:BAKU_A2_Angst_dwdownload.mp3]		der-ausflug
excursion	der Ausflug, die Ausflüge		[sound:BAKU_A1_Ausflug_dwdownload.mp3]		der-ausflug
floor; ground	der Boden, die Böden		[sound:BAKU_B1_Boden_dwdownload.mp3]		der-ausflug
cousin (male)	der Cousin, die Cousins		[sound:BAKU_A2_Cousin_dwdownload.mp3]		der-ausflug
cousin (female)	die Cousine, die Cousinen		[sound:BAKU_A2_Cousine_dwdownload.mp3]		der-ausflug
relaxed	entspannt <br><small><i>entspannter, am entspanntesten</i></small>		[sound:BAKU_A2_entspannt_dwdownload.mp3]		der-ausflug
"to grill; to barbecue (something)<br><img src=""40025646_507.jpg"" width=""50%"" height=""50%"">"	(etwas) grillen <br><small><i>grillt, grillte, hat gegrillt</i></small>		[sound:BAKU_A2_grillen_dwdownload.mp3]		der-ausflug
"wedding<br><img src=""40026349_507.jpg"" width=""50%"" height=""50%"">"	die Hochzeit, die Hochzeiten		[sound:BAKU_A2_Hochzeit_dwdownload.mp3]		der-ausflug
"to laugh<br><img src=""40026321_507.jpg"" width=""50%"" height=""50%"">"	lachen <br><small><i>lacht, lachte, hat gelacht</i></small>		[sound:BAKU_A1_lachen_dwdownload.mp3]		der-ausflug
to be a long time ago	lange her sein <br><small><i>ist, war, ist gewesen</i></small>		[sound:BAKU_lange_her_sein_dwdownload.mp3]		der-ausflug
nothing	nichts		[sound:BAKU_A2_nichts_dwdownload.mp3]		der-ausflug
to travel	reisen <br><small><i>reist, reiste, ist gereist</i></small>		[sound:BAKU_A1_reisen_dwdownload.mp3]		der-ausflug
"walk; stroll<br><img src=""40244490_507.jpg"" width=""50%"" height=""50%"">"	der Spaziergang, die Spaziergänge		[sound:BAKU_A1_Spaziergang_dwdownload.mp3]		der-ausflug
sell	etwas verkaufen <br><small><i>verkauft, verkaufte, hat verkauft</i></small>		[sound:BAKU_A1_verkaufen_dwdownload.mp3]		der-ausflug
to go away	weg|fahren <br><small><i>fährt weg, fuhr weg, ist weggefahren</i></small>		[sound:BAKU_A2_wegfahren_dwdownload.mp3]		der-ausflug
weather	das Wetter <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Wetter_dwdownload.mp3]		der-ausflug
in first place	auf Platz eins		[sound:BAKU_auf_Platz_eins_dwdownload.mp3]		wie-wird-das-wetter
to wake up	auf|wachen  <br><small><i>wacht auf, wachte auf, ist aufgewacht</i></small>		[sound:BAKU_B1_aufwachen_dwdownload.mp3]		wie-wird-das-wetter
cloudy	bewölkt <br><small><i>bewölkter, am bewölktesten</i></small>		[sound:BAKU_A1_bewoelkt_dwdownload.mp3]		wie-wird-das-wetter
to fall asleep	ein|schlafen <br><small><i>schläft ein, schlief ein, ist eingeschlafen</i></small>		[sound:BAKU_B1_einschlafen_dwdownload.mp3]		wie-wird-das-wetter
"gray<br><img src=""40027698_507.jpg"" width=""50%"" height=""50%"">"	grau		[sound:BAKU_A1_grau_dwdownload.mp3]		wie-wird-das-wetter
home country	die Heimat, die Heimaten <br><small><i>Plural selten</i></small>		[sound:BAKU_A1_Heimat_dwdownload.mp3]		wie-wird-das-wetter
"sky<br><img src=""40026363_507.jpg"" width=""50%"" height=""50%"">"	der Himmel <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Himmel_dwdownload.mp3]		wie-wird-das-wetter
complicated; complex	kompliziert <br><small><i>komplizierter, am kompliziertesten</i></small>		[sound:BAKU_B1_kompliziert_dwdownload.mp3]		wie-wird-das-wetter
"fog<br><img src=""40026265_507.jpg"" width=""50%"" height=""50%"">"	der Nebel, die Nebel <br><small><i>Plural selten</i></small>		[sound:BAKU_A1_Nebel_dwdownload.mp3]		wie-wird-das-wetter
"foggy<br><img src=""40026214_507.jpg"" width=""50%"" height=""50%"">"	neblig <br><small><i>nebliger, am nebligsten</i></small>		[sound:BAKU_A1_neblig_dwdownload.mp3]		wie-wird-das-wetter
to happen	passieren <br><small><i>passiert, passierte, ist passiert</i></small>		[sound:BAKU_A1_passieren_dwdownload.mp3]		wie-wird-das-wetter
politics	die Politik <br><small><i>nur Singular</i></small>		[sound:BAKU_A2_Politik_dwdownload.mp3]		wie-wird-das-wetter
"bike trip; bike tour<br><img src=""40026200_507.jpg"" width=""50%"" height=""50%"">"	die Radtour, die Radtouren		[sound:BAKU_A1_Radtour_dwdownload.mp3]		wie-wird-das-wetter
"rain<br><img src=""40025911_507.jpg"" width=""50%"" height=""50%"">"	der Regen <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Regen_dwdownload.mp3]		wie-wird-das-wetter
"to rain<br><img src=""40025911_507.jpg"" width=""50%"" height=""50%"">"	regnen <br><small><i>regnet, regnete, hat geregnet</i></small>		[sound:BAKU_A1_regnen_dwdownload.mp3]		wie-wird-das-wetter
to shine	scheinen <br><small><i>scheint, schien, hat geschienen</i></small>		[sound:BAKU_A2_scheinen_dwdownload.mp3]		wie-wird-das-wetter
"snow<br><img src=""40026009_507.jpg"" width=""50%"" height=""50%"">"	der Schnee <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Schnee_dwdownload.mp3]		wie-wird-das-wetter
"to snow<br><img src=""40026293_507.jpg"" width=""50%"" height=""50%"">"	schneien <br><small><i>schneit, schneite, hat geschneit</i></small>		[sound:BAKU_A1_schneien_dwdownload.mp3]		wie-wird-das-wetter
"sun<br><img src=""40054157_507.jpg"" width=""50%"" height=""50%"">"	die Sonne, die Sonnen		[sound:BAKU_A1_Sonne_dwdownload.mp3]		wie-wird-das-wetter
issue; topic	das Thema, die Themen		[sound:BAKU_A1_Thema_dwdownload.mp3]		wie-wird-das-wetter
"accident<br><img src=""40025995_507.jpg"" width=""50%"" height=""50%"">"	der Unfall, die Unfälle		[sound:BAKU_A1_Unfall_dwdownload.mp3]		wie-wird-das-wetter
warmth; heat	die Wärme <br><small><i>nur Singular</i></small>		[sound:BAKU_A1_Waerme_dwdownload.mp3]		wie-wird-das-wetter
to blow	wehen <br><small><i>weht, wehte, hat geweht</i></small>		[sound:BAKU_B1_wehen_dwdownload.mp3]		wie-wird-das-wetter
wind	der Wind, die Winde <br><small><i>Plural selten</i></small>		[sound:BAKU_A1_Wind_dwdownload.mp3]		wie-wird-das-wetter
"cloud<br><img src=""40025703_507.jpg"" width=""50%"" height=""50%"">"	die Wolke, die Wolken		[sound:BAKU_A1_Wolke_dwdownload.mp3]		wie-wird-das-wetter
thick; heavy	dick <br><small><i>dicker, am dicksten</i></small>		[sound:BAKU_A1_dick_dwdownload.mp3]		a1e14l1
thin	dünn <br><small><i>dünner, am dünnsten</i></small>		[sound:BAKU_A2_duenn_dwdownload.mp3]		a1e14l1
"to pack something<br><img src=""45847042_507.jpg"" width=""50%"" height=""50%"">"	etwas ein|packen <br><small><i>packt ein, packte ein, hat eingepackt</i></small>		[sound:BAKU_A1_einpacken_iSv_Kleidung_einpacken_dwdownload.mp3]		a1e14l1
color; paint	die Farbe, die Farben		[sound:BAKU_A1_Farbe_dwdownload.mp3]		a1e14l1
ugly	hässlich <br><small><i>hässlicher, am hässlichsten</i></small>		[sound:BAKU_A2_haesslich_dwdownload.mp3]		a1e14l1
"shirt<br><img src=""40027747_507.jpg"" width=""50%"" height=""50%"">"	das Hemd, die Hemden		[sound:BAKU_A1_Hemd_dwdownload.mp3]		a1e14l1
"hat<br><img src=""40027669_507.jpg"" width=""50%"" height=""50%"">"	der Hut, die Hüte		[sound:BAKU_A1_Hut_dwdownload.mp3]		a1e14l1
in; in fashion	in		[sound:BAKU_A1_in_dwdownload.mp3]		a1e14l1
"jeans<br><img src=""40027762_507.jpg"" width=""50%"" height=""50%"">"	die Jeans, die Jeans		[sound:BAKU_A1_Jeans_dwdownload.mp3]		a1e14l1
clothes	die Kleidung <br><small><i>nur Singular</i></small>		[sound:BAKU_die_Kleidung_dwdownload.mp3]		a1e14l1
"coat<br><img src=""40027615_507.jpg"" width=""50%"" height=""50%"">"	der Mantel, die Mäntel		[sound:BAKU_A1_Mantel_dwdownload.mp3]		a1e14l1
"beanie; knit cap<br><img src=""40027641_507.jpg"" width=""50%"" height=""50%"">"	die Mütze, die Mützen		[sound:BAKU_A1_Muetze_dwdownload.mp3]		a1e14l1
"sweater; jumper; pullover<br><img src=""40027570_507.jpg"" width=""50%"" height=""50%"">"	der Pullover, die Pullover <br><small><i>Kurzform: der Pulli, die Pullis</i></small>		[sound:BAKU_A1_Pullover_dwdownload.mp3]		a1e14l1
"skirt<br><img src=""40027540_507.jpg"" width=""50%"" height=""50%"">"	der Rock, die Röcke		[sound:BAKU_A1_Rock_dwdownload.mp3]		a1e14l1
things to wear	(die) Sachen zum Anziehen (Plural) <br><small><i>nur Plural, Artikel, selten</i></small>		[sound:BAKU_A1_sachen_zum_anziehen_dwdownload.mp3]		a1e14l1
fancy; dressy	schick <br><small><i>schicker, am schicksten</i></small>		[sound:BAKU_A1_schick_dwdownload.mp3]		a1e14l1
"shoe<br><img src=""40027018_507.jpg"" width=""50%"" height=""50%"">"	der Schuh, die Schuhe		[sound:BAKU_A1_Schuh_dwdownload.mp3]		a1e14l1
"top<br><img src=""40027046_507.jpg"" width=""50%"" height=""50%"">"	das Top, die Tops <br><small><i>aus dem Englischen</i></small>		[sound:BAKU_A1_Top_dwdownload.mp3]		a1e14l1
to wear something	etwas tragen <br><small><i>trägt, trug, hat getragen</i></small>		[sound:BAKU_A1_tragen_dwdownload.mp3]		a1e14l1
"sneaker<br><img src=""40027074_507.jpg"" width=""50%"" height=""50%"">"	der Turnschuh, die Turnschuhe		[sound:BAKU_A1_Turnschuh_dwdownload.mp3]		a1e14l1
wide	weit <br><small><i>weiter, am weitesten</i></small>		[sound:BAKU_A2_weit_dwdownload.mp3]		a1e14l1
Come again?/Pardon me?	Wie bitte?		[sound:BAKU_A1_wie_bitte_dwdownload.mp3]		a1e14l1
old-fashioned	altmodisch <br><small><i>altmodischer, am altmodischsten</i></small>		[sound:BAKU_A1_altmodisch_dwdownload.mp3]		mein-lieblingspulli
"to put something on<br><img src=""40244069_507.jpg"" width=""50%"" height=""50%"">"	etwas an|ziehen <br><small><i>zieht an, zog an, hat angezogen</i></small>		[sound:BAKU_A1_anziehen_dwdownload.mp3]		mein-lieblingspulli
both	beide		[sound:BAKU_A1_beide_dwdownload.mp3]		mein-lieblingspulli
"blue<br><img src=""40027102_507.jpg"" width=""50%"" height=""50%"">"	blau		[sound:BAKU_A1_blau_dwdownload.mp3]		mein-lieblingspulli
"brown<br><img src=""40027144_507.jpg"" width=""50%"" height=""50%"">"	braun		[sound:BAKU_A1_braun_dwdownload.mp3]		mein-lieblingspulli
colorful	bunt <br><small><i>bunter, am buntesten</i></small>		[sound:BAKU_A1_bunt_dwdownload.mp3]		mein-lieblingspulli
favorite color	die Lieblingsfarbe, die Lieblingsfarben		[sound:BAKU_A1_Lieblingsfarbe_dwdownload.mp3]		mein-lieblingspulli
"purple<br><img src=""40027655_507.jpg"" width=""50%"" height=""50%"">"	lila		[sound:BAKU_A1_lila_dwdownload.mp3]		mein-lieblingspulli
to mix something	etwas mischen <br><small><i>mischt, mischte, hat gemischt</i></small>		[sound:BAKU_B1_mischen_dwdownload.mp3]		mein-lieblingspulli
"pink<br><img src=""40027518_507.jpg"" width=""50%"" height=""50%"">"	pink<br><br>	rosa	[sound:BAKU_A1_pink_dwdownload.mp3]	[sound:BAKU_A1_rosa_dwdownload.mp3]	mein-lieblingspulli
"scarf<br><img src=""40027462_507.jpg"" width=""50%"" height=""50%"">"	der Schal, die Schals<br><br>	das Halstuch, die Halstücher	[sound:BAKU_A1_Schal_dwdownload.mp3]	[sound:BAKU_A1_Halstuch_dwdownload.mp3]	mein-lieblingspulli
"black<br><img src=""40027032_507.jpg"" width=""50%"" height=""50%"">"	schwarz		[sound:BAKU_A1_schwarz_dwdownload.mp3]		mein-lieblingspulli
pretty; quite; rather	ziemlich		[sound:BAKU_A1_ziemlich_dwdownload.mp3]		mein-lieblingspulli
to try something on	etwas an|probieren <br><small><i>probiert an, probierte an, hat anprobiert</i></small>		[sound:BAKU_A1_anprobieren_dwdownload.mp3]		das-passt-gut
sleeve	der Ärmel, die Ärmel		[sound:BAKU_A1_Aermel_dwdownload.mp3]		das-passt-gut
to look like; to look as though	aus|sehen <br><small><i>sieht aus, sah aus, hat ausgesehen</i></small>		[sound:BAKU_A2_aussehen_dwdownload.mp3]		das-passt-gut
beige	beige		[sound:BAKU_A1_beige_dwdownload.mp3]		das-passt-gut
irrelevant; no matter	egal		[sound:BAKU_A1_egal_dwdownload.mp3]		das-passt-gut
elegant	elegant <br><small><i>eleganter, am elegantesten</i></small>		[sound:BAKU_B1_elegant_dwdownload.mp3]		das-passt-gut
tight	eng <br><small><i>enger, am engsten</i></small>		[sound:BAKU_A1_eng_dwdownload.mp3]		das-passt-gut
to appeal to someone	jemandem gefallen <br><small><i>gefällt, gefiel, hat gefallen</i></small>		[sound:BAKU_A1_gefallen_dwdownload.mp3]		das-passt-gut
I like that.	Das gefällt mir.		[sound:BAKU_A1_das_gefaellt_mir_dwdownload.mp3]		das-passt-gut
size	die Größe, die Größen		[sound:BAKU_A1_Groesse_dwdownload.mp3]		das-passt-gut
brand (name)	die Marke, die Marken		[sound:BAKU_A1_Marke_dwdownload.mp3]		das-passt-gut
"pair<br><img src=""42760444_507.jpg"" width=""50%"" height=""50%"">"	das Paar, die Paare		[sound:BAKU_A1_Paar_dwdownload.mp3]		das-passt-gut
to fit somebody	jemandem passen <br><small><i>passt, passte, hat gepasst</i></small>		[sound:BAKU_A1_passen_dwdownload.mp3]		das-passt-gut
to fit someone; to look good on someone; something flatters someone	stehen <br><small><i>steht, stand, hat gestanden</i></small>		[sound:BAKU_A1_stehen_dwdownload.mp3]		das-passt-gut
That looks good on you!	Das steht dir gut!		[sound:BAKU_A1_das_steht_dir_gut_dwdownload.mp3]		das-passt-gut
Do these pants look good on me?	Steht mir die Hose?		[sound:A1_E14_L3_S14_A2_Audio1_dwdownload.mp3]		das-passt-gut
floor	der Stock <br><small><i>nur Singular</i></small>		[sound:BAKU_B1_Stock_3_dwdownload.mp3]		das-passt-gut
changing room; dressing room	die Umkleidekabine, die Umkleidekabinen		[sound:BAKU_A1_Umkleidekabine_dwdownload.mp3]		das-passt-gut
What size do you wear?	Welche Größe haben Sie?		[sound:BAKU_A1_welche_groesse_haben_sie_dwdownload.mp3]		das-passt-gut
What do you think about ...?	Wie findest du ...?		[sound:BAKU_A1_wie_findest_du_dwdownload.mp3]		das-passt-gut
to have something on; to wear something	etwas an|haben <br><small><i>hat an, hatte an, hat angehabt</i></small>		[sound:BAKU_B1_anhaben_dwdownload.mp3]		schick
"suit<br><img src=""40027088_507.jpg"" width=""50%"" height=""50%"">"	der Anzug, die Anzüge<br><br>	das Kostüm, die Kostüme	[sound:BAKU_A1_Anzug_dwdownload.mp3]	[sound:BAKU_A2_Kostuem_dwdownload.mp3]	schick
"work shoe<br><img src=""40027130_507.jpg"" width=""50%"" height=""50%"">"	der Arbeitsschuh, die Arbeitsschuhe <br><small><i>meist im Plural</i></small>		[sound:BAKU_A1_Arbeitsschuh_dwdownload.mp3]		schick
blouse; shirt	die Bluse, die Blusen		[sound:BAKU_A1_Bluse_dwdownload.mp3]		schick
bow tie	die Fliege, die Fliegen		[sound:BAKU_Fliege_dwdownload.mp3]		schick
formal	formell <br><small><i>formeller, am formellsten</i></small>		[sound:BAKU_A1_formell_dwdownload.mp3]		schick
"flowery; floral (print)<br><img src=""40244195_507.jpg"" width=""50%"" height=""50%"">"	geblümt		[sound:BAKU_A1_gebluemt_dwdownload.mp3]		schick
polka-dotted; spotted	gepunktet		[sound:BAKU_A1_gepunktet_dwdownload.mp3]		schick
striped	gestreift		[sound:BAKU_A1_gestreift_dwdownload.mp3]		schick
bright; glaring	grell <br><small><i>greller, am grellsten</i></small>		[sound:BAKU_grell_dwdownload.mp3]		schick
"glove<br><img src=""40027727_507.jpg"" width=""50%"" height=""50%"">"	der Handschuh, die Handschuhe		[sound:BAKU_A1_Handschuh_dwdownload.mp3]		schick
high; tall	hoch <br><small><i>höher, am höchsten</i></small>		[sound:BAKU_A2_hoch_dwdownload.mp3]		schick
"pantsuit; trouser suit<br><img src=""40027776_507.jpg"" width=""50%"" height=""50%"">"	der Hosenanzug, die Hosenanzüge		[sound:BAKU_A1_hosenanzug_dwdownload.mp3]		schick
beautiful; pretty	hübsch <br><small><i>hübscher, am hübschesten</i></small>		[sound:BAKU_A1_huebsch_dwdownload.mp3]		schick
young	jung <br><small><i>jünger, am jüngsten</i></small>		[sound:BAKU_A2_jung_dwdownload.mp3]		schick
"checkered; plaid<br><img src=""40244244_507.jpg"" width=""50%"" height=""50%"">"	kariert		[sound:BAKU_A1_kariert_dwdownload.mp3]		schick
"dress<br><img src=""39449952_507.jpg"" width=""50%"" height=""50%"">"	das Kleid, die Kleider		[sound:BAKU_A1_Kleid_dwdownload.mp3]		schick
"nurse; orderly (female)<br><img src=""40057435_507.jpg"" width=""50%"" height=""50%"">"	der Krankenpfleger, die Krankenpfleger		[sound:BAKU_A1_Krankenpfleger_dwdownload.mp3]		schick
"nurse<br><img src=""40057611_507.jpg"" width=""50%"" height=""50%"">"	die Krankenschwester, die Krankenschwestern		[sound:BAKU_A1_Krankenschwester_dwdownload.mp3]		schick
"necktie<br><img src=""39540556_507.jpg"" width=""50%"" height=""50%"">"	die Krawatte, die Krawatten		[sound:BAKU_A2_Krawatte_dwdownload.mp3]		schick
no more; not anymore	nicht mehr		[sound:BAKU_A2_nicht_mehr_dwdownload.mp3]		schick
simple; modest; plain	schlicht <br><small><i>schlichter, am schlichtesten</i></small>		[sound:BAKU_B1_schlicht_dwdownload.mp3]		schick
chimney sweep (male)	der Schornsteinfeger, die Schornsteinfeger		[sound:BAKU_A1_Schornsteinfeger_dwdownload.mp3]		schick
chimney sweep (female)	die Schornsteinfegerin, die Schornsteinfegerinnen		[sound:BAKU_A1_Schornsteinfegerinnen_dwdownload.mp3]		schick
"sock<br><img src=""40101762_507.jpg"" width=""50%"" height=""50%"">"	die Socke, die Socken		[sound:BAKU_A2_Socke_dwdownload.mp3]		schick
tracksuit; sweat suit	der Trainingsanzug, die Trainingsanzüge		[sound:BAKU_A1_Trainingsanzug_dwdownload.mp3]		schick
surprise	die Überraschung, die Überraschungen		[sound:BAKU_A2_Ueberraschung_dwdownload.mp3]		schick
company; business	das Unternehmen, die Unternehmen		[sound:BAKU_A2_Unternehmen_das_dwdownload.mp3]		schick
vest	die Weste, die Westen		[sound:BAKU_A1_Weste_dwdownload.mp3]		schick
"to take something off<br><img src=""40057080_507.jpg"" width=""50%"" height=""50%"">"	etwas aus|ziehen <br><small><i>zieht aus, zog aus, hat ausgezogen</i></small>		[sound:BAKU_A1_ausziehen_dwdownload.mp3]		meine-familie
"brother<br><img src=""40244135_507.jpg"" width=""50%"" height=""50%"">"	der Bruder, die Brüder		[sound:BAKU_A1_Bruder_dwdownload.mp3]		meine-familie
grandchild	das Enkelkind, die Enkelkinder		[sound:BAKU_A2_Enkelkind_dwdownload.mp3]		meine-familie
grandson	der Enkelsohn, die Enkelsöhne <br><small><i>Kurzform: der Enkel, die Enkel</i></small>		[sound:BAKU_der_Enkelsohn_dwdownload.mp3]		meine-familie
granddaughter	die Enkeltochter, die Enkeltöchter <br><small><i>Kurzform: die Enkelin, die Enkelinnen</i></small>		[sound:BAKU_A2_Enkelin_dwdownload.mp3]		meine-familie
divorced	geschieden		[sound:BAKU_A2_geschieden_dwdownload.mp3]		meine-familie
sibling	das Geschwister, die Geschwister <br><small><i>meist im Plural</i></small>		[sound:BAKU_A2_Geschwister_dwdownload.mp3]		meine-familie
"grandparents<br><img src=""40057648_507.jpg"" width=""50%"" height=""50%"">"	die Großeltern (Plural) <br><small><i>nur Plural</i></small>		[sound:BAKU_A1_Grosseltern_dwdownload.mp3]		meine-familie
grandmother	die Großmutter, die Großmütter		[sound:BAKU_A2_Grossmutter_dwdownload.mp3]		meine-familie
grandfather	der Großvater, die Großväter		[sound:BAKU_A2_Grossvater_dwdownload.mp3]		meine-familie
suit coat (formal attire)	das Jackett, die Jacketts <br><small><i>aus dem Französischen, alternativer Plural: die Jackette</i></small>		[sound:BAKU_das_Jackett_dwdownload.mp3]		meine-familie
"boy<br><img src=""40057774_507.jpg"" width=""50%"" height=""50%"">"	der Junge, die Jungen		[sound:BAKU_A1_Junge_dwdownload.mp3]		meine-familie
single	ledig		[sound:BAKU_A2_ledig_dwdownload.mp3]		meine-familie
"girl<br><img src=""39775575_507.jpg"" width=""50%"" height=""50%"">"	das Mädchen, die Mädchen		[sound:BAKU_A1_Maedchen_dwdownload.mp3]		meine-familie
nephew	der Neffe, die Neffen		[sound:BAKU_A2_Neffe_dwdownload.mp3]		meine-familie
niece	die Nichte, die Nichten		[sound:BAKU_A2_Nichte_dwdownload.mp3]		meine-familie
"grandma<br><img src=""40057499_507.jpg"" width=""50%"" height=""50%"">"	die Oma, die Omas		[sound:BAKU_A1_Oma_dwdownload.mp3]		meine-familie
"wallet<br><img src=""40057597_507.jpg"" width=""50%"" height=""50%"">"	das Portemonnaie, die Portemonnaies <br><small><i>aus dem Französischen</i></small>		[sound:BAKU_A2_Portemonnaie_dwdownload.mp3]		meine-familie
"son<br><img src=""40244503_507.jpg"" width=""50%"" height=""50%"">"	der Sohn, die Söhne		[sound:BAKU_A1_Sohn_dwdownload.mp3]		meine-familie
dead	tot		[sound:BAKU_A2_tot_dwdownload.mp3]		meine-familie
"married<br><img src=""40026349_507.jpg"" width=""50%"" height=""50%"">"	verheiratet		[sound:BAKU_A1_verheiratet_dwdownload.mp3]		meine-familie
widowed	verwitwet		[sound:BAKU_A2_verwitwet_dwdownload.mp3]		meine-familie
employed; working	berufstätig		[sound:BAKU_A1_berufstaetig_dwdownload.mp3]		meine-eltern
to reach someone; to get in touch with someone	jemanden erreichen <br><small><i>erreicht, erreichte, hat erreicht</i></small>		[sound:BAKU_A1_erreichen_dwdownload.mp3]		meine-eltern
for	für		[sound:BAKU_A1_fuer_dwdownload.mp3]		meine-eltern
to get to know someone/something	jemanden/etwas kennen|lernen <br><small><i>lernt kennen, lernte kennen, hat kennengelernt</i></small>		[sound:BAKU_A1_kennenlernen_dwdownload.mp3]		meine-eltern
contact; relationship	der Kontakt, die Kontakte		[sound:BAKU_A2_Kontakt_dwdownload.mp3]		meine-eltern
life	das Leben, die Leben  <br><small><i>Plural selten</i></small>		[sound:BAKU_A1_Leben_das_dwdownload.mp3]		meine-eltern
"argument; quarrel<br><img src=""40057364_507.jpg"" width=""50%"" height=""50%"">"	der Streit, die Streite <br><small><i>Plural selten</i></small>		[sound:BAKU_A2_Streit_dwdownload.mp3]		meine-eltern
to fight; to quarrel	Streit haben <br><small><i>hat, hatte, hat gehabt</i></small>		[sound:BAKU_A1_Streit_haben_dwdownload.mp3]		meine-eltern
"to argue<br><img src=""40057364_507.jpg"" width=""50%"" height=""50%"">"	streiten <br><small><i>streitet, stritt, hat gestritten</i></small>		[sound:BAKU_A2_streiten_dwdownload.mp3]		meine-eltern
studies	das Studium, die Studien <br><small><i>Plural selten</i></small>		[sound:BAKU_A1_Studium_dwdownload.mp3]		meine-eltern
approximate; rough	ungefähr <br><small><i>Variante: circa</i></small>		[sound:BAKU_B1_ungefaehr_dwdownload.mp3]		meine-eltern
to go away; to travel	verreisen <br><small><i>verreist, verreiste, ist verreist</i></small>		[sound:BAKU_A2_verreisen_dwdownload.mp3]		meine-eltern
to hang up	auf|legen <br><small><i>legt auf, legte auf, hat aufgelegt</i></small>		[sound:BAKU_A1_auflegen_dwdownload.mp3]		meine-tante
training; apprenticeship	die Ausbildung, die Ausbildungen		[sound:BAKU_A2_Ausbildung_dwdownload.mp3]		meine-tante
apprentice; trainee (male)	der Auszubildende, die Auszubildenden <br><small><i>mit unbestimmtem Artikel: ein Auszubildender, Auszubildende</i></small>		[sound:BAKU_A2_Auszubildende_der_dwdownload.mp3]		meine-tante
apprentice; trainee (female)	die Auszubildende, die Auszubildenden <br><small><i>mit unbestimmtem Artikel: eine Auszubildende, Auszubildende</i></small>		[sound:BAKU_A2_Auszubildende_die_dwdownload.mp3]		meine-tante
"baker (male)<br><img src=""40057224_507.jpg"" width=""50%"" height=""50%"">"	der Bäcker, die Bäcker		[sound:BAKU_A1_Baecker_dwdownload.mp3]		meine-tante
"baker (female)<br><img src=""40056932_507.jpg"" width=""50%"" height=""50%"">"	die Bäckerin, die Bäckerinnen		[sound:BAKU_A1_Baeckerin_dwdownload.mp3]		meine-tante
to water flowers	Blumen gießen <br><small><i>gießt, goss, hat gegossen</i></small>		[sound:BAKU_A1_Blumen_giessen_dwdownload.mp3]		meine-tante
